api,well_name,operator,county,field,latitude,longitude,depth_ft,completion_date,status,well_type,well_id
42423000700000,Wilson 571H,Diamondback E&P LLC,Smith,East Texas,32.572523,-95.169348,7037,2023-04-25,Active,Oil,70
42423000710100,White 56A,Centennial Resource Production LLC,Smith,East Texas,32.582803,-95.299811,10280,2023-09-11,Active,Oil,71
42423000720002,Rodriguez 98A,Pioneer Natural Resources USA Inc,Smith,East Texas,32.368677,-95.230281,7870,2023-04-27,Active,Oil,72
42423000730102,Moore 61B,Parsley Energy Operations LLC,Smith,East Texas,32.574822,-95.427404,10700,2023-02-23,Active,Oil,73
42423000740002,Taylor 59A,ConocoPhillips Company,Smith,East Texas,32.55732,-95.368079,6442,2022-11-19,Active,Oil,74
42423000750002,Jackson 534H,ConocoPhillips Company,Smith,East Texas,32.591055,-95.33833,5888,2022-07-12,Active,Oil,75
42423000760001,Jackson 37C,Independence Resources Management LLC,Smith,East Texas,32.526933,-95.249837,12178,2023-12-17,Active,Oil,76
42423000770001,Jackson 71A,Permian Resources Operating LLC,Smith,East Texas,32.591944,-95.256451,11684,2022-04-06,Active,Oil,77
42423000780102,Wilson 541H,ConocoPhillips Company,Smith,East Texas,32.438434,-95.453014,12905,2023-04-29,Active,Oil,78
42423000790000,Rodriguez 443H,Laredo Petroleum Inc,Smith,East Texas,32.343393,-95.423756,13318,2022-10-01,Active,Oil,79
42423000800100,Hernandez 454H,Apache Corporation,Smith,East Texas,32.517815,-95.16501,10446,2023-07-20,Active,Oil,80
42329000810002,Taylor 53D,Centennial Resource Production LLC,Midland,Permian Basin,31.982138,-102.171289,5715,2022-11-22,Active,Oil,81
42329000820100,Jones 132H,Centennial Resource Production LLC,Midland,Permian Basin,31.954432,-102.034524,12213,2022-04-13,Active,Oil,82
42329000830001,Rodriguez 802H,Parsley Energy Operations LLC,Midland,Permian Basin,31.806139,-102.242338,11512,2023-10-28,Active,Oil,83
42329000840002,Moore 80A,Callon Petroleum Operating Company,Midland,Permian Basin,32.140937,-101.956263,6121,2022-08-29,Active,Oil,84
42329000850002,Brown 224H,Apache Corporation,Midland,Permian Basin,32.19897,-102.001293,9906,2022-01-30,Active,Oil,85
42329000860002,Thomas 22C,EOG Resources Inc,Midland,Permian Basin,31.917347,-102.150064,7868,2022-03-22,Active,Oil,86
42329000870000,Hernandez 591H,Centennial Resource Production LLC,Midland,Permian Basin,32.047884,-102.203668,9183,2023-11-14,Active,Oil,87
42329000880001,Anderson 821H,Parsley Energy Operations LLC,Midland,Permian Basin,32.160484,-102.028956,11951,2023-12-08,Active,Oil,88
42329000890000,Taylor 742H,Apache Corporation,Midland,Permian Basin,31.879687,-102.146123,9847,2023-12-18,Active,Oil,89
42329000900101,Garcia 292H,Centennial Resource Production LLC,Midland,Permian Basin,31.909792,-102.073628,8115,2023-09-28,Active,Oil,90
42329000910001,Johnson 942H,Diamondback E&P LLC,Midland,Permian Basin,32.051299,-101.938639,7153,2022-04-03,Active,Oil,91
42329000920002,Martin 221H,Callon Petroleum Operating Company,Midland,Permian Basin,32.098992,-102.229744,9210,2023-05-09,Active,Oil,92
42329000930100,Jones 87D,Apache Corporation,Midland,Permian Basin,32.098624,-102.164514,11511,2023-07-25,Active,Oil,93
42329000940002,Rodriguez 823H,Centennial Resource Production LLC,Midland,Permian Basin,31.805567,-102.085371,11086,2022-04-21,Active,Oil,94
42329000950002,Garcia 82B,Cimarex Energy Company,Midland,Permian Basin,31.81001,-101.946306,12606,2023-12-19,Active,Oil,95
42329000960001,Brown 31B,Concho Resources Inc,Midland,Permian Basin,31.84667,-102.281861,13807,2022-05-19,Active,Oil,96
42329000970102,Jones 843H,Endeavor Energy Resources LP,Midland,Permian Basin,32.068194,-102.002744,6622,2023-05-17,Active,Oil,97
42329000980100,Anderson 88B,Marathon Oil Company,Midland,Permian Basin,31.813087,-102.151788,11018,2023-07-12,Active,Oil,98
42329000990100,Davis 7A,Endeavor Energy Resources LP,Midland,Permian Basin,31.82422,-102.189647,10464,2022-09-07,Active,Oil,99
42329001000002,Davis 43D,Matador Production Company,Midland,Permian Basin,31.882082,-101.968073,7417,2023-09-03,Active,Oil,100
42329001010002,Smith 2C,Diamondback E&P LLC,Midland,Permian Basin,32.195011,-102.083914,10869,2022-09-01,Active,Oil,101
42329001020002,Williams 584H,Permian Resources Operating LLC,Midland,Permian Basin,31.869698,-102.27904,10931,2023-06-10,Active,Oil,102
42329001030001,Smith 62A,Parsley Energy Operations LLC,Midland,Permian Basin,32.001535,-101.921834,11580,2023-03-13,Active,Oil,103
42329001040002,Jones 17B,Cimarex Energy Company,Midland,Permian Basin,32.084961,-102.122575,9505,2023-10-02,Active,Oil,104
42329001050001,Martin 133H,Laredo Petroleum Inc,Midland,Permian Basin,32.084861,-102.147638,6874,2023-11-02,Active,Oil,105
42329001060001,Martinez 524H,Laredo Petroleum Inc,Midland,Permian Basin,32.088336,-102.213991,11815,2022-04-08,Active,Oil,106
42329001070100,Williams 12B,Callon Petroleum Operating Company,Midland,Permian Basin,32.066043,-102.15028,12075,2022-04-09,Active,Oil,107
42329001080002,Brown 463H,Endeavor Energy Resources LP,Midland,Permian Basin,32.124708,-102.077452,11929,2022-02-22,Active,Oil,108
42329001090000,Moore 14D,Independence Resources Management LLC,Midland,Permian Basin,31.92498,-102.25856,10736,2023-07-24,Active,Oil,109
42329001100002,Rodriguez 24A,Marathon Oil Company,Midland,Permian Basin,32.02964,-101.977111,9477,2023-12-21,Active,Oil,110
42329001110100,Jones 12A,Callon Petroleum Operating Company,Midland,Permian Basin,31.940409,-102.227438,13691,2022-08-09,Active,Oil,111
42329001120000,Jones 97C,Parsley Energy Operations LLC,Midland,Permian Basin,31.936358,-102.151979,5815,2023-11-22,Active,Oil,112
42329001130101,Davis 45B,Parsley Energy Operations LLC,Midland,Permian Basin,32.064775,-102.105735,12043,2022-04-24,Active,Oil,113
42329001140001,White 1A,Matador Production Company,Midland,Permian Basin,31.994653,-102.033147,8349,2022-11-05,Active,Oil,114
42329001150001,Thomas 17C,Diamondback E&P LLC,Midland,Permian Basin,32.105664,-102.184221,11229,2023-06-30,Active,Oil,115
42329001160001,Johnson 33H,SM Energy Company,Midland,Permian Basin,32.023489,-102.032781,12532,2022-03-21,Active,Oil,116
42329001170000,Taylor 42A,Matador Production Company,Midland,Permian Basin,31.971714,-102.138231,7815,2023-09-25,Active,Oil,117
42329001180102,Taylor 51B,Endeavor Energy Resources LP,Midland,Permian Basin,31.835252,-101.962206,10083,2022-12-14,Active,Oil,118
42329001190001,Anderson 31C,Devon Energy Production Company LP,Midland,Permian Basin,31.830552,-102.04671,6684,2022-05-30,Active,Oil,119
42329001200002,Moore 974H,Devon Energy Production Company LP,Midland,Permian Basin,32.04096,-101.995914,14236,2023-08-17,Active,Oil,120
42329001210000,Hernandez 61B,Matador Production Company,Midland,Permian Basin,32.057197,-101.905387,12245,2023-10-09,Active,Oil,121
42329001220001,Hernandez 8A,Marathon Oil Company,Midland,Permian Basin,32.036568,-102.159223,11041,2022-10-21,Active,Oil,122
42329001230001,Thompson 42D,Pioneer Natural Resources USA Inc,Midland,Permian Basin,32.046003,-102.097173,14912,2023-05-03,Active,Oil,123
42329001240002,Miller 32A,EOG Resources Inc,Midland,Permian Basin,31.980209,-101.975613,12172,2023-03-26,Active,Oil,124
42329001250101,Martinez 81A,Independence Resources Management LLC,Midland,Permian Basin,31.863498,-102.150859,10482,2022-03-09,Active,Oil,125
42329001260001,Williams 45C,Laredo Petroleum Inc,Midland,Permian Basin,32.071352,-102.186341,10082,2023-11-03,Active,Oil,126
42329001270002,Taylor 172H,Centennial Resource Production LLC,Midland,Permian Basin,31.851581,-102.016466,13624,2022-04-06,Active,Oil,127
42329001280000,Martinez 254H,Concho Resources Inc,Midland,Permian Basin,32.003395,-102.292708,8711,2022-05-21,Active,Oil,128
42329001290002,Martinez 77C,Apache Corporation,Midland,Permian Basin,32.137771,-102.259544,11172,2022-06-07,Active,Oil,129
42329001300001,Anderson 57D,Independence Resources Management LLC,Midland,Permian Basin,32.123617,-102.233784,9668,2023-04-05,Active,Oil,130
42329001310001,Thompson 604H,Chevron USA Inc,Midland,Permian Basin,31.923787,-101.97655,9616,2023-01-27,Active,Oil,131
42329001320001,Johnson 484H,Concho Resources Inc,Midland,Permian Basin,32.186507,-101.973244,14085,2022-04-16,Active,Oil,132
42329001330001,Martin 56C,SM Energy Company,Midland,Permian Basin,32.140466,-102.185975,6502,2022-08-16,Active,Oil,133
42329001340000,Taylor 48B,Endeavor Energy Resources LP,Midland,Permian Basin,32.172189,-102.134041,8678,2022-01-29,Active,Oil,134
42329001350000,Wilson 904H,ConocoPhillips Company,Midland,Permian Basin,32.135671,-102.040016,7273,2023-12-24,Active,Oil,135
42329001360000,Jackson 153H,Independence Resources Management LLC,Midland,Permian Basin,31.8021,-102.26831,9720,2022-09-01,Active,Oil,136
42329001370100,Brown 774H,EOG Resources Inc,Midland,Permian Basin,31.895376,-102.044419,13782,2022-01-17,Active,Oil,137
42329001380002,Anderson 74D,Matador Production Company,Midland,Permian Basin,31.896775,-102.242569,11825,2022-07-11,Active,Oil,138
42329001390001,Moore 82A,Pioneer Natural Resources USA Inc,Midland,Permian Basin,32.009394,-102.155758,11338,2023-01-18,Active,Oil,139
42329001400002,Martinez 6C,Permian Resources Operating LLC,Midland,Permian Basin,31.942838,-102.272976,10772,2023-07-14,Active,Oil,140
42329001410000,Williams 54H,Devon Energy Production Company LP,Midland,Permian Basin,32.132153,-102.026127,9807,2022-07-26,Active,Oil,141
42329001420102,Moore 51H,Occidental Petroleum Corporation,Midland,Permian Basin,32.154316,-102.173762,8131,2022-10-20,Active,Oil,142
42329001430001,Taylor 504H,EOG Resources Inc,Midland,Permian Basin,32.146319,-102.16723,10554,2022-07-11,Active,Oil,143
42329001440002,Thomas 56B,Cimarex Energy Company,Midland,Permian Basin,31.946939,-101.981084,14870,2022-07-04,Active,Oil,144
42329001450001,White 223H,Callon Petroleum Operating Company,Midland,Permian Basin,31.841039,-102.168832,12272,2022-12-26,Active,Oil,145
42329001460002,Taylor 662H,Endeavor Energy Resources LP,Midland,Permian Basin,32.045941,-102.126024,7621,2022-02-01,Active,Oil,146
42329001470000,Anderson 502H,Independence Resources Management LLC,Midland,Permian Basin,32.071236,-102.124731,14293,2022-02-03,Active,Oil,147
42329001480002,Anderson 413H,Parsley Energy Operations LLC,Midland,Permian Basin,32.179529,-102.151195,9566,2022-09-13,Active,Oil,148
42329001490001,Rodriguez 284H,Permian Resources Operating LLC,Midland,Permian Basin,32.09427,-102.100382,9678,2023-12-12,Active,Oil,149
42329001500100,Hernandez 88B,Cimarex Energy Company,Midland,Permian Basin,31.880071,-102.245709,10236,2023-11-15,Active,Oil,150
42329001510002,Miller 662H,Pioneer Natural Resources USA Inc,Midland,Permian Basin,32.019999,-102.183855,8673,2022-05-05,Active,Oil,151
42329001520001,Jackson 79C,Diamondback E&P LLC,Midland,Permian Basin,31.894694,-102.102391,6412,2022-03-09,Active,Oil,152
42329001530000,Martinez 58B,Cimarex Energy Company,Midland,Permian Basin,32.010278,-101.992334,12632,2023-11-28,Active,Oil,153
42329001540000,Thomas 16A,Diamondback E&P LLC,Midland,Permian Basin,32.151184,-101.987895,13488,2022-06-06,Active,Oil,154
42329001550000,Rodriguez 82D,Devon Energy Production Company LP,Midland,Permian Basin,31.929064,-102.016267,14024,2022-10-09,Active,Oil,155
42329001560000,White 732H,Apache Corporation,Midland,Permian Basin,32.045771,-102.262629,5674,2022-01-30,Active,Oil,156
42329001570102,Smith 814H,Matador Production Company,Midland,Permian Basin,31.905862,-102.215677,13938,2022-10-24,Active,Oil,157
42329001580001,Williams 21A,Apache Corporation,Midland,Permian Basin,31.993178,-101.978125,12202,2023-03-02,Active,Oil,158
42329001590001,Jones 662H,Occidental Petroleum Corporation,Midland,Permian Basin,31.936077,-102.242533,14202,2022-04-19,Active,Oil,159
42329001600000,Wilson 793H,Parsley Energy Operations LLC,Midland,Permian Basin,31.849009,-102.120162,11850,2022-09-12,Active,Oil,160
42329001610000,Moore 644H,Devon Energy Production Company LP,Midland,Permian Basin,32.125391,-101.926499,10055,2023-05-25,Active,Oil,161
42329001620000,Johnson 641H,Centennial Resource Production LLC,Midland,Permian Basin,32.002178,-101.913325,14789,2023-11-01,Active,Oil,162
42329001630001,Anderson 473H,Apache Corporation,Midland,Permian Basin,32.014676,-101.961131,5741,2023-02-15,Active,Oil,163
42329001640102,Hernandez 801H,Laredo Petroleum Inc,Midland,Permian Basin,31.877862,-102.078711,6946,2022-05-12,Active,Oil,164
42329001650000,Davis 653H,Centennial Resource Production LLC,Midland,Permian Basin,31.949279,-101.905285,5659,2022-02-16,Active,Oil,165
42329001660001,White 212H,Callon Petroleum Operating Company,Midland,Permian Basin,32.121586,-102.092267,11438,2023-09-24,Active,Oil,166
42329001670102,Thompson 611H,Apache Corporation,Midland,Permian Basin,32.03749,-102.097074,5272,2023-01-13,Active,Oil,167
42329001680101,Thompson 93D,ConocoPhillips Company,Midland,Permian Basin,32.191959,-102.066519,5841,2023-08-21,Active,Oil,168
42329001690002,Garcia 74A,SM Energy Company,Midland,Permian Basin,32.05161,-102.052106,6800,2022-07-15,Active,Oil,169
42329001700102,White 954H,Callon Petroleum Operating Company,Midland,Permian Basin,31.967512,-102.134816,6020,2023-12-24,Active,Oil,170
42329001710101,Miller 694H,Occidental Petroleum Corporation,Midland,Permian Basin,32.024355,-101.900751,10608,2023-07-14,Active,Oil,171
42329001720002,Wilson 39D,Marathon Oil Company,Midland,Permian Basin,32.044031,-102.223094,9735,2023-12-23,Active,Oil,172
42329001730000,Thompson 513H,Cimarex Energy Company,Midland,Permian Basin,31.926816,-102.160479,10654,2022-05-30,Active,Oil,173
42329001740002,Moore 26D,Apache Corporation,Midland,Permian Basin,32.182125,-102.268388,13824,2022-10-05,Active,Oil,174
42329001750000,Johnson 82D,Marathon Oil Company,Midland,Permian Basin,31.854909,-102.053729,8814,2022-02-23,Active,Oil,175
42329001760002,Miller 843H,Callon Petroleum Operating Company,Midland,Permian Basin,32.086943,-102.259782,12793,2023-05-04,Active,Oil,176
42329001770002,Johnson 54C,Apache Corporation,Midland,Permian Basin,31.928467,-102.041641,7880,2022-02-07,Active,Oil,177
42329001780000,Wilson 43B,Centennial Resource Production LLC,Midland,Permian Basin,32.115184,-102.225475,9662,2023-04-11,Active,Oil,178
42329001790101,Davis 43B,Laredo Petroleum Inc,Midland,Permian Basin,32.009727,-101.944296,7662,2023-04-15,Active,Oil,179
42329001800000,White 553H,Devon Energy Production Company LP,Midland,Permian Basin,31.805634,-102.165155,13442,2022-12-02,Active,Oil,180
42329001810000,Rodriguez 313H,ConocoPhillips Company,Midland,Permian Basin,31.873912,-102.243755,12319,2022-10-01,Active,Oil,181
42329001820002,Garcia 86A,Apache Corporation,Midland,Permian Basin,32.032984,-102.070849,6936,2023-04-22,Active,Oil,182
42329001830002,Wilson 792H,Centennial Resource Production LLC,Midland,Permian Basin,32.074429,-101.930758,8618,2022-08-13,Active,Oil,183
42329001840001,Jackson 974H,Cimarex Energy Company,Midland,Permian Basin,31.861274,-102.000906,13806,2023-11-12,Active,Oil,184
42329001850102,Anderson 73B,Chevron USA Inc,Midland,Permian Basin,32.072137,-102.061674,6838,2022-03-05,Active,Oil,185
42329001860002,Hernandez 88B,SM Energy Company,Midland,Permian Basin,31.880863,-102.085336,8365,2023-08-21,Active,Oil,186
42329001870101,Thompson 72A,SM Energy Company,Midland,Permian Basin,31.978193,-102.277746,12575,2023-11-20,Shut-in,Oil,187
42329001880000,Thomas 902H,Permian Resources Operating LLC,Midland,Permian Basin,31.958379,-101.973419,6044,2023-07-09,Active,Oil,188
42329001890100,Jones 483H,Pioneer Natural Resources USA Inc,Midland,Permian Basin,32.194455,-102.111172,11266,2023-04-05,Active,Oil,189
42329001900002,Anderson 23B,Centennial Resource Production LLC,Midland,Permian Basin,31.950258,-102.026908,13802,2023-02-07,Active,Oil,190
42329001910102,Jackson 693H,Chevron USA Inc,Midland,Permian Basin,32.133929,-101.997528,11214,2022-08-24,Active,Oil,191
42329001920002,Thomas 31A,Endeavor Energy Resources LP,Midland,Permian Basin,31.862049,-102.224608,8376,2022-03-10,Active,Oil,192
42329001930002,Johnson 573H,EOG Resources Inc,Midland,Permian Basin,31.978576,-102.031191,8839,2023-07-07,Active,Oil,193
42329001940002,White 312H,EOG Resources Inc,Midland,Permian Basin,31.856054,-101.902607,9944,2022-05-27,Active,Oil,194
42329001950002,Thomas 74H,SM Energy Company,Midland,Permian Basin,31.888417,-102.1798,10642,2023-10-21,Active,Oil,195
42329001960001,Miller 314H,SM Energy Company,Midland,Permian Basin,31.927494,-102.13347,8692,2022-11-04,Active,Oil,196
42329001970101,Jackson 50C,Diamondback E&P LLC,Midland,Permian Basin,32.12231,-101.934104,8978,2022-09-19,Active,Oil,197
42329001980000,Rodriguez 873H,Pioneer Natural Resources USA Inc,Midland,Permian Basin,32.16889,-101.961147,14911,2023-09-10,Active,Oil,198
42329001990001,Davis 392H,Pioneer Natural Resources USA Inc,Midland,Permian Basin,31.875265,-101.995321,5251,2022-08-05,Active,Oil,199
42329002000001,Garcia 372H,ConocoPhillips Company,Midland,Permian Basin,32.098752,-101.998268,11236,2023-04-23,Active,Oil,200
42479002010100,Moore 272H,Endeavor Energy Resources LP,Webb,Eagle Ford,27.454211,-99.584213,11073,2022-11-17,Active,Oil,201
42479002020002,Thompson 383H,Matador Production Company,Webb,Eagle Ford,27.732042,-99.355249,7497,2022-07-20,Active,Oil,202
42479002030001,Moore 594H,Centennial Resource Production LLC,Webb,Eagle Ford,27.584895,-99.652562,7756,2022-12-27,Active,Oil,203
42479002040002,Johnson 86B,Laredo Petroleum Inc,Webb,Eagle Ford,27.544158,-99.24986,5794,2022-01-07,Active,Oil,204
42479002050101,Johnson 854H,Chevron USA Inc,Webb,Eagle Ford,27.333984,-99.709382,12993,2022-01-17,Active,Oil,205
42479002060000,Martin 233H,Laredo Petroleum Inc,Webb,Eagle Ford,27.505669,-99.789964,6753,2022-04-09,Active,Oil,206
42479002070001,Williams 522H,Chevron USA Inc,Webb,Eagle Ford,27.395966,-99.484126,12520,2023-08-02,Active,Oil,207
42479002080000,Taylor 493H,Chevron USA Inc,Webb,Eagle Ford,27.449987,-99.303163,14055,2023-05-03,Active,Oil,208
42479002090002,Brown 30A,Permian Resources Operating LLC,Webb,Eagle Ford,27.651423,-99.750388,8463,2023-12-10,Active,Oil,209
42479002100000,Martinez 27A,Cimarex Energy Company,Webb,Eagle Ford,27.435548,-99.245504,14617,2022-05-28,Active,Oil,210
42479002110002,Taylor 502H,Centennial Resource Production LLC,Webb,Eagle Ford,27.764437,-99.620434,7292,2023-12-07,Active,Oil,211
